-3.1415927 | 45.0000000 | 45.0000000 | -0.3183099
-2.9883442 | 0.9941402 | 45.0000000 | -0.3346335
-2.8350958 | 0.9766982 | 45.0000000 | -0.3527218
-2.6818474 | 0.9480828 | 45.0000000 | -0.3728773
-2.5285990 | 0.9089647 | 45.0000000 | -0.3954759
-2.3753505 | 0.8602608 | 45.0000000 | -0.4209905
-2.2221021 | 0.8031127 | 45.0000000 | -0.4500243
-2.0688537 | 0.7388599 | 45.0000000 | -0.4833595
-1.9156053 | 0.6690084 | 45.0000000 | -0.5220282
-1.7623569 | 0.5951956 | 45.0000000 | -0.5674220
-1.6091084 | 0.5191514 | 45.0000000 | -0.6214622
-1.4558600 | 0.4426583 | 45.0000000 | -0.6868792
-1.3026116 | 0.3675092 | 45.0000000 | -0.7676885
-1.1493632 | 0.2954657 | 45.0000000 | -0.8700470
-0.9961147 | 0.2282162 | 45.0000000 | -1.0039004
-0.8428663 | 0.1673371 | 45.0000000 | -1.1864278
-0.6896179 | 0.1142554 | 45.0000000 | -1.4500784
-0.5363695 | 0.0702152 | 45.0000000 | -1.8643865
-0.3831211 | 0.0362488 | 45.0000000 | -2.6101411
-0.2298726 | 0.0131523 | 45.0000000 | -4.3502351
-0.0766242 | 0.0014671 | 45.0000000 | -13.0507053
0.0766242 | 0.0014671 | 0.3618546 | 13.0507053
0.2298726 | 0.0131523 | 0.5280619 | 4.3502351
0.3831211 | 0.0362488 | 0.5608613 | 2.6101411
0.5363695 | 0.0702152 | 0.5281163 | 1.8643865
0.6896179 | 0.1142554 | 0.4534258 | 1.4500784
0.8428663 | 0.1673371 | 0.3493633 | 1.1864278
0.9961147 | 0.2282162 | 0.2239420 | 1.0039004
1.1493632 | 0.2954657 | 0.0828033 | 0.8700470
1.3026116 | 0.3675092 | -0.0698256 | 0.7676885
1.4558600 | 0.4426583 | -0.2306423 | 0.6868792
1.6091084 | 0.5191514 | -0.3969904 | 0.6214622
1.7623569 | 0.5951956 | -0.5666877 | 0.5674220
1.9156053 | 0.6690084 | -0.7379135 | 0.5220282
2.0688537 | 0.7388599 | -0.9091319 | 0.4833595
2.2221021 | 0.8031127 | -1.0790362 | 0.4500243
2.3753505 | 0.8602608 | -1.2465081 | 0.4209905
2.5285990 | 0.9089647 | -1.4105872 | 0.3954759
2.6818474 | 0.9480828 | -1.5704466 | 0.3728773
2.8350958 | 0.9766982 | -1.7253741 | 0.3527218
2.9883442 | 0.9941402 | -1.8747568 | 0.3346335
3.1415927 | 45.0000000 | -2.0180684 | 0.3183099
